timestamp,host,cpu_percent,memory_percent,disk_percent,net_bytes_sent,net_bytes_recv
2025-11-17T18:13:02,LAPTOP-DATLMA76,2.9,87.1,86.9,35392808,1025152616
2025-11-17T18:13:07,LAPTOP-DATLMA76,2.1,85.7,86.9,35406874,1025159703
2025-11-17T18:13:12,LAPTOP-DATLMA76,3.0,85.7,86.9,35409505,1025160240
2025-11-17T18:13:17,LAPTOP-DATLMA76,1.0,85.5,86.9,35417435,1025167779
2025-11-17T18:13:22,LAPTOP-DATLMA76,2.3,85.4,86.9,35418147,1025168409
2025-11-17T18:13:27,LAPTOP-DATLMA76,2.7,85.9,86.9,35418609,1025168891
2025-11-17T18:13:32,LAPTOP-DATLMA76,2.7,85.8,86.9,35419252,1025169428
2025-11-17T18:13:37,LAPTOP-DATLMA76,1.0,85.3,86.9,35426382,1025170074
2025-11-17T18:13:42,LAPTOP-DATLMA76,1.8,85.0,86.9,35430402,1025170758
2025-11-17T18:13:47,LAPTOP-DATLMA76,3.1,84.9,86.9,35433138,1025178074
2025-11-17T18:13:52,LAPTOP-DATLMA76,1.0,84.5,86.9,35443361,1025184825
2025-11-17T18:13:57,LAPTOP-DATLMA76,0.5,84.2,86.9,35444085,1025185493
2025-11-17T18:14:02,LAPTOP-DATLMA76,0.4,84.1,86.9,35452148,1025192627
2025-11-17T18:14:07,LAPTOP-DATLMA76,0.9,84.1,86.9,35469603,1025199649
2025-11-17T18:14:12,LAPTOP-DATLMA76,0.3,84.1,86.9,35482765,1025209284
2025-11-17T18:14:17,LAPTOP-DATLMA76,0.0,84.1,86.9,35484379,1025210017
2025-11-17T18:14:22,LAPTOP-DATLMA76,0.5,83.3,86.9,35494694,1025218238
2025-11-17T18:14:28,LAPTOP-DATLMA76,0.1,83.7,86.9,35495549,1025220126
2025-11-17T18:14:33,LAPTOP-DATLMA76,0.0,83.7,86.9,35496171,1025220754
2025-11-17T18:14:38,LAPTOP-DATLMA76,0.1,83.7,86.9,35502520,1025221342
2025-11-17T18:14:43,LAPTOP-DATLMA76,0.1,82.7,86.9,35507142,1025221896
2025-11-17T18:14:48,LAPTOP-DATLMA76,0.4,82.8,86.9,35507910,1025222550
2025-11-17T18:14:53,LAPTOP-DATLMA76,1.4,82.8,86.9,35508400,1025222954
2025-11-17T18:14:58,LAPTOP-DATLMA76,0.4,82.4,86.9,35511698,1025231438
2025-11-17T18:15:03,LAPTOP-DATLMA76,0.5,82.4,86.9,35512301,1025231928
2025-11-17T18:15:08,LAPTOP-DATLMA76,0.3,82.4,86.9,35517105,1025232550
2025-11-17T18:15:13,LAPTOP-DATLMA76,0.4,82.4,86.9,35521728,1025233008
2025-11-17T18:15:18,LAPTOP-DATLMA76,0.1,82.4,86.9,35530300,1025239218
2025-11-17T18:15:23,LAPTOP-DATLMA76,0.1,82.4,86.9,35531237,1025240005
2025-11-17T18:15:28,LAPTOP-DATLMA76,0.4,82.7,86.9,35531921,1025240713
2025-11-17T18:15:33,LAPTOP-DATLMA76,0.6,82.6,86.9,35538694,1025244162
2025-11-17T18:15:38,LAPTOP-DATLMA76,0.0,82.7,86.9,35547172,1025263529
2025-11-17T18:15:43,LAPTOP-DATLMA76,3.6,83.2,86.9,35557077,1025263847
2025-11-17T18:15:48,LAPTOP-DATLMA76,0.7,82.9,86.9,35570599,1025338387
2025-11-17T18:15:53,LAPTOP-DATLMA76,0.3,82.9,86.9,35571031,1025338805
2025-11-17T18:15:58,LAPTOP-DATLMA76,0.1,82.5,86.9,35571601,1025339275
2025-11-17T18:16:03,LAPTOP-DATLMA76,0.6,82.5,86.9,35572058,1025339679
2025-11-17T18:16:08,LAPTOP-DATLMA76,0.1,81.9,86.9,35572702,1025340465
2025-11-17T18:16:13,LAPTOP-DATLMA76,4.9,82.3,86.9,35580173,1025340870
2025-11-17T18:16:18,LAPTOP-DATLMA76,0.9,80.1,86.9,35602609,1025355031
2025-11-17T18:16:23,LAPTOP-DATLMA76,0.3,80.1,86.9,35603563,1025356920
2025-11-17T18:16:29,LAPTOP-DATLMA76,0.0,80.5,86.9,35608555,1025358807
2025-11-17T18:16:34,LAPTOP-DATLMA76,0.5,81.2,86.9,35621093,1025372020
2025-11-17T18:16:39,LAPTOP-DATLMA76,0.4,81.1,86.9,35621838,1025372667
2025-11-17T18:16:44,LAPTOP-DATLMA76,1.6,81.2,86.9,35629400,1025373979
2025-11-17T18:16:49,LAPTOP-DATLMA76,1.4,81.1,86.9,35632962,1025375645
2025-11-17T18:16:54,LAPTOP-DATLMA76,0.4,81.3,86.9,35641509,1025383052
2025-11-17T18:16:59,LAPTOP-DATLMA76,0.8,80.6,86.9,35642079,1025384615
2025-11-17T18:17:04,LAPTOP-DATLMA76,0.9,80.3,86.9,35651248,1025391491
2025-11-17T18:17:09,LAPTOP-DATLMA76,1.0,80.1,86.9,35656699,1025393958
